"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","PI_lastname","seq_method","biosphere","ecosystem"
"mgm4715466","harbor","feces","host-associated",NA,"TPK10_2CM","Chicken Gut Microbiome Tamilnadu India","metagenome","WGS",NA,"India",13.1504,80.2414,"marine mud","mgp19727","host-associated","animal_feces","koringa","illumina","terrestrial","animal_host-associated"
"mgm4715467","harbor","feces","host-associated",NA,"TPC10_4CM","Chicken Gut Microbiome Tamilnadu India","metagenome","WGS",NA,"India",13.1504,80.2414,"marine mud","mgp19727","host-associated","animal_feces","koringa","illumina","terrestrial","animal_host-associated"
"mgm4715468","harbor","feces","host-associated",NA,"TPK10_5CM","Chicken Gut Microbiome Tamilnadu India","metagenome","WGS",NA,"India",13.1504,80.2414,"marine mud","mgp19727","host-associated","animal_feces","koringa","illumina","terrestrial","animal_host-associated"
"mgm4715469","harbor","feces","host-associated",NA,"TPA10_1CM","Chicken Gut Microbiome Tamilnadu India","metagenome","WGS",NA,"India",13.1504,80.2414,"marine mud","mgp19727","host-associated","animal_feces","koringa","illumina","terrestrial","animal_host-associated"
"mgm4715470","harbor","feces","host-associated",NA,"TPK10_1CM","Chicken Gut Microbiome Tamilnadu India","metagenome","WGS",NA,"India",13.1504,80.2414,"marine mud","mgp19727","host-associated","animal_feces","koringa","illumina","terrestrial","animal_host-associated"
"mgm4715471","harbor","feces","host-associated",NA,"TPC10_2CM","Chicken Gut Microbiome Tamilnadu India","metagenome","WGS",NA,"India",13.1504,80.2414,"marine mud","mgp19727","host-associated","animal_feces","koringa","illumina","terrestrial","animal_host-associated"
"mgm4715472","harbor","feces","host-associated",NA,"TPK10_3CM","Chicken Gut Microbiome Tamilnadu India","metagenome","WGS",NA,"India",13.1504,80.2414,"marine mud","mgp19727","host-associated","animal_feces","koringa","illumina","terrestrial","animal_host-associated"
"mgm4715473","harbor","feces","host-associated",NA,"TPA10_5CM","Chicken Gut Microbiome Tamilnadu India","metagenome","WGS",NA,"India",13.1504,80.2414,"marine mud","mgp19727","host-associated","animal_feces","koringa","illumina","terrestrial","animal_host-associated"
"mgm4715474","harbor","feces","host-associated",NA,"TPC10_3CM","Chicken Gut Microbiome Tamilnadu India","metagenome","WGS",NA,"India",13.1504,80.2414,"marine mud","mgp19727","host-associated","animal_feces","koringa","illumina","terrestrial","animal_host-associated"
"mgm4715475","harbor","feces","host-associated",NA,"TPC10_5CM","Chicken Gut Microbiome Tamilnadu India","metagenome","WGS",NA,"India",13.1504,80.2414,"marine mud","mgp19727","host-associated","animal_feces","koringa","illumina","terrestrial","animal_host-associated"
"mgm4715476","harbor","feces","host-associated",NA,"TPA10_2CM","Chicken Gut Microbiome Tamilnadu India","metagenome","WGS",NA,"India",13.1504,80.2414,"marine mud","mgp19727","host-associated","animal_feces","koringa","illumina","terrestrial","animal_host-associated"
"mgm4715477","harbor","feces","host-associated",NA,"TPA10_3CM","Chicken Gut Microbiome Tamilnadu India","metagenome","WGS",NA,"India",13.1504,80.2414,"marine mud","mgp19727","host-associated","animal_feces","koringa","illumina","terrestrial","animal_host-associated"
"mgm4715478","harbor","feces","host-associated",NA,"TPA10_4CM","Chicken Gut Microbiome Tamilnadu India","metagenome","WGS",NA,"India",13.1504,80.2414,"marine mud","mgp19727","host-associated","animal_feces","koringa","illumina","terrestrial","animal_host-associated"
"mgm4715479","harbor","feces","host-associated",NA,"TPC10_1CM","Chicken Gut Microbiome Tamilnadu India","metagenome","WGS",NA,"India",13.1504,80.2414,"marine mud","mgp19727","host-associated","animal_feces","koringa","illumina","terrestrial","animal_host-associated"
"mgm4715480","harbor","feces","host-associated",NA,"TPK10_4CM","Chicken Gut Microbiome Tamilnadu India","metagenome","WGS",NA,"India",13.1504,80.2414,"marine mud","mgp19727","host-associated","animal_feces","koringa","illumina","terrestrial","animal_host-associated"
